А,Уровень,Параметры,Дата осмотра,Результат,Критерии,Максимальный балл
Холл,"Оповещение, освобождение"," 1. Свободный доступ к МП обслуживающего персоонала (эл. механик, аварийка).",,0-2,0  - затруднительный доступ                                                         1 - доступ с незначительными ограничениями                                                             2 - свободный доступ,4
,"Оповещение, освобождение","2. Хорошо освещенный доступ к МП обслуживающего персоонала (эл. механик, аварийка).",,0-2,0 - освещение отсутствует                                                                    1 - недостаточное освещение                                                                  2 - комфортное освещение,
,,,,,,
,Комфорт,1. Наличие вентиляции в кабине лифта,,0-1,0 - вентиляция отсутствует                                                                                                                               1 - комфортная вентиляция,71
,Техническое состояние,2. Исправность кнопок вызова ,,0-2,"0 - кнопка не работает                                                                                        1 - кнопка работает, но без подсветки (где предусмотрено)                                                                           2 - кнопка и подсветка работает",
,Техническое состояние,3. Исправность кнопок приказа,,0-2,"0 - кнопка не работает                                                                                        1 - кнопка работает, но без подсветки (где предусмотрено)                                                                                       2 - кнопка и подсветка работает",
,Комфорт,4. Время закрытия дверей лифта при выходе,,0-1,"0 - некомфортное время : быстрое (<5 сек), долгое (>12 сек)                                                                                                                           1 - комфортное время ( ~7-10 сек)",
,Комфорт,5. Скорость открытия дверей лифта,,0-1,0 - некомфортная : резкое движение/ очень медленное                                                                                                                         1 - комфортная ,
,Комфорт,6. Скорость закрытия дверей лифта,,0-1,0 - некомфортная : резкое движение/ очень медленное                                                                                                                         1 - комфортная ,
,Комфорт,"7. Посторонний шум во время открытия, закрытия дверей кабины лифта",,0-1,0 - некомфортный                                                                                                                        1 - комфортный,
,Безопасность,"8.Рабочая кнопка вызова диспетчера, сама диспетчиризация (связь).",,0-30,0 - не работает                                                                                                                     30 - работает,
,Эстетика и сервис ,9. Наличие правила пользования лифтом,,0-2,0 - отсутствует                                                                                     1 - в поврежденном состоянии                                                                                             2 - в отличном состоянии,
,Эстетика и сервис ,10. Наличие тел.номера обслуживающей организации,,0-2,0 - отсутствует                                                                                     1 - в поврежденном состоянии                                                                                             2 - в отличном состоянии,
,Эстетика и сервис ,11. Наличие информационной таблички с указанием учетного номера,,0-2,0 - отсутствует                                                                                     1 - в поврежденном состоянии                                                                                             2 - в отличном состоянии,
,Эстетика и сервис ,"12. Целостность кабины (вмятины, царапины, повреждения)",,0-2,0 - сильные повреждения                                                                                     1 - незначительные повреждения                                                                                            2 - в отличном состоянии,
,,"13. Целостность дверей шахты (вмятины, царапины, повреждения)",,0-2,0 - сильные повреждения                                                                                     1 - незначительные повреждения                                                                                            2 - в отличном состоянии,
,,"14. Целостность порогов (вмятины, царапины, повреждения)",,0-2,0 - сильные повреждения                                                                                     1 - незначительные повреждения                                                                                            2 - в отличном состоянии,
,,"15. Целостность  обрамлений (вмятины, царапины, повреждения)",,0-2,0 - сильные повреждения                                                                                     1 - незначительные повреждения                                                                                            2 - в отличном состоянии,
,,"16. Целостность  плафонов(вмятины, царапины, повреждения)",,0-2,0 - сильные повреждения                                                                                     1 - незначительные повреждения                                                                                            2 - в отличном состоянии,
,Эстетика и сервис ,17. Чистота плафонов освещения,,0-2,0 - сильные загрязнения                                                                                    1 - незначительные загрязнения                                                                                            2 - в отличном состоянии,
,Эстетика и сервис ,18. Освещение в кабине лифта,,0-2,0 - освещение отсутствует                                                                    1 - недостаточное освещение                                                                  2 - комфортное освещение,
,Эстетика и сервис ,"19. Чистота кабины (пол, стены, потолок)",,0-2,0 - сильные загрязнения                                                                                    1 - незначительные загрязнения                                                                                            2 - в отличном состоянии,
,Эстетика и сервис ,20. Соответствие точной остановки кабины лифта на посадочных этажах в соответствии требованиям ,,0-2,0 - выходит за рамки регламента                                                                                   1 - в рамках регламента                                                                                           2 - точная остановка,
